mass,tof (us),Combined
0,0.081,8.22E-07
0,0.0812,6.16E-07
0,0.0814,1.13E-06
0,0.0816,9.25E-07
0,0.0818,5.14E-07
0,0.082,7.19E-07
0,0.0822,5.14E-07
0,0.0824,9.25E-07
0,0.0826,2.05E-07
0,0.0828,1.03E-06
0,0.083,7.19E-07
0,0.0832,5.14E-07
0,0.0834,4.11E-07
0,0.0836,7.19E-07
0,0.0838,4.11E-07
0,0.084,9.25E-07
0,0.0842,1.44E-06
0,0.0844,9.25E-07
0,0.0846,-3.29E-05
0,0.0848,6.16E-07
0,0.085,8.22E-07
0,0.0852,5.14E-07
0,0.0854,1.03E-06
0,0.0856,2.05E-07
0,0.0858,1.13E-06
0,0.086,8.22E-07
0,0.0862,-3.27E-05
0,0.0864,3.08E-07
0,0.0866,5.14E-07
0,0.0868,-3.28E-05
0,0.087,9.25E-07
0,0.0872,8.22E-07
0,0.0874,4.11E-07
0,0.0876,8.22E-07
0,0.0878,7.19E-07
0,0.088,6.16E-07
0,0.0882,6.16E-07
0,0.0884,6.16E-07
0,0.0886,2.05E-07
0,0.0888,8.22E-07
0,0.089,5.14E-07
0,0.0892,5.14E-07
0,0.0894,3.08E-07
0,0.0896,5.14E-07
0,0.0898,6.16E-07
0,0.09,5.14E-07
0,0.0902,8.22E-07
0,0.0904,6.16E-07
0,0.0906,4.11E-07
0,0.0908,7.19E-07
0,0.091,5.14E-07
0,0.0912,5.14E-07
0,0.0914,9.25E-07
0,0.0916,6.16E-07
0,0.0918,1.13E-06
0,0.092,6.16E-07
0,0.0922,8.22E-07
0,0.0924,9.25E-07
0,0.0926,4.11E-07
0,0.0928,1.23E-06
0,0.093,1.64E-06
0,0.0932,8.22E-07
0,0.0934,5.14E-07
0,0.0936,1.23E-06
0,0.0938,8.22E-07
0,0.094,5.14E-07
0,0.0942,6.16E-07
0,0.0944,6.16E-07
0,0.0946,7.19E-07
0,0.0948,2.05E-07
0,0.095,7.19E-07
0,0.0952,5.14E-07
0,0.0954,8.22E-07
0,0.0956,3.08E-07
0,0.0958,1.03E-06
0,0.096,2.05E-07
0,0.0962,1.13E-06
0,0.0964,8.22E-07
0,0.0966,7.19E-07
0,0.0968,1.75E-06
0,0.097,6.16E-07
0,0.0972,9.25E-07
0,0.0974,4.11E-07
0,0.0976,5.14E-07
0,0.0978,7.19E-07
0,0.098,2.05E-07
0,0.0982,5.14E-07
0,0.0984,1.03E-06
0,0.0986,5.14E-07
0,0.0988,8.22E-07
0,0.099,3.08E-07
0,0.0992,6.16E-07
0,0.0994,6.16E-07
0,0.0996,5.14E-07
0,0.0998,8.22E-07
0,0.1,9.25E-07
0,0.1002,9.25E-07
0,0.1004,6.16E-07
0,0.1006,8.22E-07
0,0.1008,6.16E-07
0,0.101,4.11E-07
0,0.1012,7.19E-07
0,0.1014,3.08E-07
0,0.1016,8.22E-07
0,0.1018,8.22E-07
0,0.102,5.14E-07
0,0.1022,9.25E-07
0,0.1024,6.16E-07
0,0.1026,8.22E-07
0,0.1028,6.16E-07
0,0.103,3.08E-07
0,0.1032,6.16E-07
0,0.1034,5.14E-07
0,0.1036,6.16E-07
0,0.1038,7.19E-07
0,0.104,1.13E-06
0,0.1042,6.16E-07
0,0.1044,7.19E-07
0,0.1046,9.25E-07
0,0.1048,6.16E-07
0,0.105,7.19E-07
0,0.1052,8.22E-07
0,0.1054,9.25E-07
0,0.1056,7.19E-07
0,0.1058,1.23E-06
0,0.106,3.08E-07
0,0.1062,6.16E-07
0,0.1064,3.08E-07
0,0.1066,8.22E-07
0,0.1068,9.25E-07
0,0.107,1.03E-07
0,0.1072,6.16E-07
0,0.1074,6.16E-07
0,0.1076,9.25E-07
0,0.1078,6.16E-07
0,0.108,9.25E-07
0,0.1082,1.03E-06
0,0.1084,7.19E-07
0,0.1086,9.25E-07
0,0.1088,5.14E-07
0,0.109,6.16E-07
0,0.1092,6.16E-07
0,0.1094,6.16E-07
0,0.1096,7.19E-07
0,0.1098,1.34E-06
0,0.11,1.03E-06
0,0.1102,6.16E-07
0,0.1104,6.16E-07
0,0.1106,6.16E-07
0,0.1108,8.22E-07
0,0.111,7.19E-07
0,0.1112,1.23E-06
0,0.1114,3.08E-07
0,0.1116,5.14E-07
0,0.1118,7.19E-07
0,0.112,5.14E-07
0,0.1122,7.19E-07
0,0.1124,2.05E-07
