mass,tof (us),Combined
0,0.1132,3.50E-07
0,0.1134,3.50E-07
0,0.1136,7.01E-07
0,0.1138,0
0,0.114,0
0,0.1142,3.50E-07
0,0.1144,0
0,0.1146,7.01E-07
0,0.1148,3.50E-07
0,0.115,3.50E-07
0,0.1152,3.50E-07
0,0.1154,1.05E-06
0,0.1156,3.50E-07
0,0.1158,7.01E-07
0,0.116,3.50E-07
0,0.1162,1.05E-06
0,0.1164,1.40E-06
0,0.1166,0
0,0.1168,0
0,0.117,3.50E-07
0,0.1172,1.05E-06
0,0.1174,3.50E-07
0,0.1176,3.50E-07
0,0.1178,3.50E-07
0,0.118,0
0,0.1182,7.01E-07
0,0.1184,3.50E-07
0,0.1186,3.50E-07
0,0.1188,0
0,0.119,7.01E-07
0,0.1192,1.05E-06
0,0.1194,7.01E-07
0,0.1196,3.50E-07
0,0.1198,3.50E-07
0,0.12,7.01E-07
0,0.1202,0
0,0.1204,3.50E-07
0,0.1206,3.50E-07
0,0.1208,3.50E-07
0,0.121,7.01E-07
0,0.1212,7.01E-07
0,0.1214,0
0,0.1216,1.05E-06
0,0.1218,0
0,0.122,3.50E-07
0,0.1222,0
0,0.1224,3.50E-07
0,0.1226,0
0,0.1228,0
0,0.123,0
0,0.1232,0
0,0.1234,7.01E-07
0,0.1236,7.01E-07
0,0.1238,3.50E-07
0,0.124,7.01E-07
0,0.1242,3.50E-07
0,0.1244,3.50E-07
0,0.1246,7.01E-07
0,0.1248,0
0,0.125,3.50E-07
0,0.1252,3.50E-07
0,0.1254,3.50E-07
0,0.1256,3.50E-07
0,0.1258,7.01E-07
0,0.126,0
0,0.1262,1.05E-06
0,0.1264,7.01E-07
0,0.1266,1.05E-06
0,0.1268,3.50E-07
0,0.127,7.01E-07
0,0.1272,3.50E-07
0,0.1274,0
0,0.1276,1.05E-06
0,0.1278,0
0,0.128,1.40E-06
0,0.1282,0
0,0.1284,7.01E-07
0,0.1286,3.50E-07
0,0.1288,3.50E-07
0,0.129,0
0,0.1292,3.50E-07
0,0.1294,3.50E-07
0,0.1296,1.05E-06
0,0.1298,3.50E-07
0,0.13,0
0,0.1302,7.01E-07
0,0.1304,7.01E-07
0,0.1306,0
0,0.1308,3.50E-07
0,0.131,0
0,0.1312,3.50E-07
0,0.1314,3.50E-07
0,0.1316,7.01E-07
0,0.1318,7.01E-07
0,0.132,1.05E-06
0,0.1322,7.01E-07
0,0.1324,1.05E-06
0,0.1326,0
0,0.1328,0
0,0.133,3.50E-07
0,0.1332,7.01E-07
0,0.1334,-3.29E-05
0,0.1336,3.50E-07
0,0.1338,1.05E-06
0,0.134,3.50E-07
0,0.1342,3.50E-07
0,0.1344,3.50E-07
0,0.1346,0
0,0.1348,3.50E-07
0,0.135,3.50E-07
0,0.1352,3.50E-07
0,0.1354,3.50E-07
0,0.1356,0
0,0.1358,7.01E-07
0,0.136,7.01E-07
0,0.1362,0
0,0.1364,3.50E-07
0,0.1366,3.50E-07
0,0.1368,0
0,0.137,3.50E-07
0,0.1372,3.50E-07
0,0.1374,3.50E-07
0,0.1376,1.05E-06
0,0.1378,1.05E-06
0,0.138,0
0,0.1382,3.50E-07
0,0.1384,7.01E-07
0,0.1386,7.01E-07
0,0.1388,0
0,0.139,1.05E-06
0,0.1392,1.05E-06
0,0.1394,3.50E-07
0,0.1396,3.50E-07
0,0.1398,7.01E-07
0,0.14,0
0,0.1402,3.50E-07
0,0.1404,0
0,0.1406,1.05E-06
0,0.1408,3.50E-07
0,0.141,3.50E-07
0,0.1412,3.50E-07
0,0.1414,3.50E-07
0,0.1416,7.01E-07
0,0.1418,3.50E-07
0,0.142,0
0,0.1422,0
0,0.1424,0
0,0.1426,3.50E-07
0,0.1428,3.50E-07
0,0.143,0
0,0.1432,7.01E-07
0,0.1434,1.05E-06
0,0.1436,7.01E-07
0,0.1438,7.01E-07
0,0.144,3.50E-07
0,0.1442,3.50E-07
0,0.1444,1.40E-06
0,0.1446,3.50E-07
0,0.1448,1.05E-06
0,0.145,3.50E-07
0,0.1452,7.01E-07
0,0.1454,-3.33E-05
0,0.1456,1.05E-06
0,0.1458,7.01E-07
0,0.146,7.01E-07
0,0.1462,7.01E-07
0,0.1464,0
0,0.1466,3.50E-07
0,0.1468,7.01E-07
0,0.147,3.50E-07
0,0.1472,3.50E-07
0,0.1474,0
0,0.1476,1.05E-06
0,0.1478,0
0,0.148,7.01E-07
0,0.1482,3.50E-07
0,0.1484,0
0,0.1486,0
0,0.1488,3.50E-07
0,0.149,0
0,0.1492,7.01E-07
0,0.1494,3.50E-07
0,0.1496,0
0,0.1498,3.50E-07
0,0.15,3.50E-07
0,0.1502,0
0,0.1504,3.50E-07
0,0.1506,3.50E-07
0,0.1508,7.01E-07
0,0.151,3.50E-07
0,0.1512,0
0,0.1514,3.50E-07
0,0.1516,3.50E-07
0,0.1518,0
0,0.152,0
0,0.1522,7.01E-07
0,0.1524,1.05E-06
0,0.1526,7.01E-07
0,0.1528,7.01E-07
0,0.153,7.01E-07
0,0.1532,3.50E-07
0,0.1534,0
0,0.1536,0
0,0.1538,7.01E-07
0,0.154,1.05E-06
0,0.1542,0
0,0.1544,7.01E-07
0,0.1546,0
0,0.1548,3.50E-07
0,0.155,3.50E-07
0,0.1552,0
0,0.1554,3.50E-07
0,0.1556,3.50E-07
0,0.1558,1.05E-06
0,0.156,1.05E-06
0,0.1562,0
0,0.1564,3.50E-07
0,0.1566,3.50E-07
0,0.1568,0
0,0.157,3.50E-07
0,0.1572,0
0,0.1574,1.40E-06
0,0.1576,7.01E-07
0,0.1578,3.50E-07
0,0.158,0
0,0.1582,1.05E-06
0,0.1584,3.50E-07
0,0.1586,0
0,0.1588,3.50E-07
0,0.159,7.01E-07
0,0.1592,3.50E-07
0,0.1594,1.40E-06
0,0.1596,0
0,0.1598,1.05E-06
0,0.16,-3.33E-05
0,0.1602,0
0,0.1604,0
0,0.1606,7.01E-07
0,0.1608,7.01E-07
0,0.161,7.01E-07
0,0.1612,0
