mass,tof (us),Combined
0,0.0838,1.80E-07
0,0.084,1.36E-07
0,0.0842,-1.31E-07
0,0.0844,4.70E-08
0,0.0846,-4.24E-07
0,0.0848,-5.76E-07
0,0.085,-6.40E-08
0,0.0852,-1.27E-07
0,0.0854,1.89E-07
0,0.0856,5.37E-07
0,0.0858,2.17E-07
0,0.086,2.87E-07
0,0.0862,-3.26E-07
0,0.0864,3.54E-07
0,0.0866,5.05E-07
0,0.0868,-2.60E-07
0,0.087,-3.58E-07
0,0.0872,1.67E-07
0,0.0874,-1.71E-07
0,0.0876,-1.62E-07
0,0.0878,-9.53E-08
0,0.088,-7.49E-07
0,0.0882,-2.25E-07
0,0.0884,-2.82E-07
0,0.0886,4.31E-08
0,0.0888,1.57E-08
0,0.089,1.54E-07
0,0.0892,3.85E-07
0,0.0894,3.32E-07
0,0.0896,3.63E-07
0,0.0898,-1.96E-08
0,0.09,2.48E-08
0,0.0902,2.78E-07
0,0.0904,4.39E-07
0,0.0906,2.21E-07
0,0.0908,-2.73E-07
0,0.091,-3.58E-07
0,0.0912,1.98E-07
0,0.0914,6.01E-08
0,0.0916,-2.48E-08
0,0.0918,2.48E-08
0,0.092,-2.91E-07
0,0.0922,1.58E-07
0,0.0924,-1.04E-07
0,0.0926,1.89E-07
0,0.0928,1.67E-07
0,0.093,-4.56E-07
0,0.0932,-1.96E-08
0,0.0934,-1.40E-07
0,0.0936,-2.38E-07
0,0.0938,5.14E-07
0,0.094,2.61E-09
0,0.0942,1.10E-07
0,0.0944,9.14E-08
0,0.0946,-2.78E-07
0,0.0948,1.76E-07
0,0.095,-8.29E-07
0,0.0952,1.23E-07
0,0.0954,1.10E-07
0,0.0956,2.08E-07
0,0.0958,2.09E-08
0,0.096,2.61E-09
0,0.0962,-1.96E-08
0,0.0964,-6.01E-08
0,0.0966,-1.04E-07
0,0.0968,-2.06E-07
0,0.097,-9.14E-08
0,0.0972,6.07E-07
0,0.0974,-4.33E-07
0,0.0976,4.20E-07
0,0.0978,2.48E-08
0,0.098,-3.26E-08
0,0.0982,-6.40E-08
0,0.0984,3.39E-08
0,0.0986,1.54E-07
0,0.0988,-1.58E-07
0,0.099,1.17E-08
0,0.0992,-1.40E-07
0,0.0994,2.08E-07
0,0.0996,-2.87E-08
0,0.0998,-1.71E-07
0,0.1,2.61E-07
0,0.1002,-9.14E-08
0,0.1004,3.22E-07
0,0.1006,-9.53E-08
0,0.1008,-9.53E-08
0,0.101,3.72E-07
0,0.1012,1.17E-08
0,0.1014,-5.18E-07
0,0.1016,7.83E-08
0,0.1018,-2.95E-07
0,0.102,-1.27E-07
0,0.1022,-1.62E-07
0,0.1024,-3.36E-07
0,0.1026,-6.38E-07
0,0.1028,3.41E-07
0,0.103,-1.17E-07
0,0.1032,-2.65E-07
0,0.1034,2.96E-07
0,0.1036,2.43E-07
0,0.1038,5.14E-07
0,0.104,-1.04E-08
0,0.1042,1.89E-07
0,0.1044,-4.46E-07
0,0.1046,2.92E-07
0,0.1048,7.01E-07
0,0.105,1.32E-07
0,0.1052,8.75E-08
0,0.1054,-1.40E-07
0,0.1056,2.61E-09
0,0.1058,-2.60E-07
0,0.106,3.05E-07
0,0.1062,-2.06E-07
0,0.1064,-3.26E-08
0,0.1066,2.21E-07
0,0.1068,1.17E-08
0,0.107,-8.62E-08
0,0.1072,2.08E-07
0,0.1074,-2.38E-07
0,0.1076,2.65E-07
0,0.1078,3.59E-07
0,0.108,3.39E-08
0,0.1082,4.03E-07
0,0.1084,-2.51E-07
0,0.1086,4.52E-07
0,0.1088,1.76E-07
0,0.109,1.71E-07
0,0.1092,2.08E-07
0,0.1094,-1.40E-07
0,0.1096,3.28E-07
0,0.1098,-3.22E-07
0,0.11,6.92E-08
0,0.1102,-2.02E-07
0,0.1104,-8.62E-08
0,0.1106,4.48E-07
0,0.1108,1.54E-07
0,0.111,4.52E-07
0,0.1112,2.08E-07
0,0.1114,-9.53E-08
0,0.1116,3.79E-08
0,0.1118,-5.67E-07
0,0.112,-4.18E-08
0,0.1122,-1.31E-09
0,0.1124,-1.71E-07
0,0.1126,-3.79E-08
0,0.1128,-1.96E-08
0,0.113,-8.62E-08
0,0.1132,6.53E-08
0,0.1134,2.11E-07
0,0.1136,-3.13E-07
0,0.1138,4.52E-07
0,0.114,3.85E-07
0,0.1142,-1.40E-07
0,0.1144,-2.60E-07
0,0.1146,-7.70E-08
0,0.1148,2.25E-07
0,0.115,3.63E-07
0,0.1152,2.09E-08
0,0.1154,-4.02E-07
0,0.1156,-1.04E-08
0,0.1158,-9.53E-08
0,0.116,3.19E-07
0,0.1162,-4.70E-08
0,0.1164,-1.04E-07
0,0.1166,-3.71E-07
0,0.1168,-1.17E-07
0,0.117,5.27E-07
0,0.1172,-7.70E-08
0,0.1174,1.14E-07
0,0.1176,1.45E-07
0,0.1178,-6.16E-07
0,0.118,2.61E-09
0,0.1182,-7.31E-08
0,0.1184,4.96E-07
0,0.1186,2.61E-09
0,0.1188,-5.31E-07
0,0.119,1.14E-07
0,0.1192,5.46E-07
0,0.1194,2.83E-07
0,0.1196,4.70E-08
0,0.1198,3.19E-07
0,0.12,1.19E-07
0,0.1202,-1.84E-07
0,0.1204,3.54E-07
0,0.1206,1.01E-07
0,0.1208,-3.58E-07
0,0.121,-1.88E-07
0,0.1212,6.48E-07
0,0.1214,3.32E-07
0,0.1216,1.98E-07
0,0.1218,3.19E-07
0,0.122,2.11E-07
0,0.1222,-1.96E-08
0,0.1224,1.45E-07
0,0.1226,-1.17E-07
0,0.1228,-2.73E-07
0,0.123,2.34E-07
0,0.1232,2.09E-08
0,0.1234,-3.71E-07
0,0.1236,5.85E-07
0,0.1238,1.17E-07
0,0.124,2.43E-07
0,0.1242,1.10E-07
0,0.1244,3.19E-07
0,0.1246,-3.32E-07
0,0.1248,2.61E-07
0,0.125,-4.78E-07
0,0.1252,1.19E-07
0,0.1254,-1.71E-07
0,0.1256,-6.96E-07
0,0.1258,-2.87E-08
0,0.126,2.87E-07
0,0.1262,2.47E-07
0,0.1264,-2.82E-07
0,0.1266,-7.09E-07
0,0.1268,-8.22E-08
0,0.127,-9.53E-08
0,0.1272,-3.58E-07
0,0.1274,3.54E-07
0,0.1276,2.96E-07
0,0.1278,2.43E-07
0,0.128,-3.63E-07
0,0.1282,3.19E-07
0,0.1284,-4.18E-08
0,0.1286,-3.62E-07
0,0.1288,1.01E-07
0,0.129,-2.95E-07
0,0.1292,-9.53E-08
0,0.1294,-1.96E-08
0,0.1296,-2.47E-07
0,0.1298,-3.49E-07
0,0.13,1.17E-08
0,0.1302,-1.58E-07
0,0.1304,-2.95E-07
0,0.1306,4.39E-07
0,0.1308,3.85E-07
0,0.131,-1.53E-07
0,0.1312,-1.96E-08
0,0.1314,-3.36E-07
0,0.1316,5.22E-08
0,0.1318,3.39E-08
0,0.132,-2.06E-07
0,0.1322,1.76E-07
0,0.1324,-1.40E-07
0,0.1326,-2.87E-08
0,0.1328,2.74E-07
0,0.133,6.92E-08
0,0.1332,-3.79E-08
0,0.1334,-9.92E-08
0,0.1336,-2.28E-07
0,0.1338,-2.87E-08
0,0.134,2.61E-09
0,0.1342,1.76E-07
0,0.1344,4.61E-07
0,0.1346,1.36E-07
0,0.1348,-3.89E-07
0,0.135,1.57E-08
0,0.1352,-1.08E-07
0,0.1354,2.48E-08
0,0.1356,-5.00E-07
0,0.1358,2.87E-08
0,0.136,-1.27E-07
0,0.1362,1.32E-07
0,0.1364,-3.54E-07
0,0.1366,2.43E-07
0,0.1368,-1.71E-07
0,0.137,2.08E-07
0,0.1372,1.41E-07
0,0.1374,-4.46E-07
0,0.1376,-1.27E-07
0,0.1378,3.58E-07
0,0.138,-3.80E-07
0,0.1382,3.94E-07
0,0.1384,2.34E-07
0,0.1386,2.52E-07
0,0.1388,-8.62E-08
0,0.139,3.15E-07
0,0.1392,4.74E-07
0,0.1394,-3.26E-08
0,0.1396,3.63E-07
0,0.1398,3.94E-07
0,0.14,2.30E-07
0,0.1402,-5.67E-07
0,0.1404,-5.48E-08
0,0.1406,-1.53E-07
0,0.1408,4.57E-07
0,0.141,6.92E-08
0,0.1412,1.14E-07
0,0.1414,3.22E-07
0,0.1416,4.70E-08
0,0.1418,2.08E-07
0,0.142,-3.36E-07
0,0.1422,1.32E-07
0,0.1424,2.78E-07
0,0.1426,1.32E-07
0,0.1428,-3.36E-07
0,0.143,3.19E-07
0,0.1432,5.61E-08
0,0.1434,-3.49E-07
0,0.1436,1.17E-08
0,0.1438,-2.02E-07
0,0.144,1.76E-07
0,0.1442,4.70E-08
0,0.1444,3.98E-07
0,0.1446,1.41E-07
0,0.1448,-2.15E-07
0,0.145,-5.00E-07
0,0.1452,-8.22E-08
0,0.1454,-1.31E-07
0,0.1456,-1.97E-07
0,0.1458,4.70E-07
0,0.146,3.85E-07
0,0.1462,4.31E-08
0,0.1464,2.74E-07
0,0.1466,-3.04E-07
0,0.1468,1.32E-07
0,0.147,5.81E-07
0,0.1472,4.07E-07
0,0.1474,-1.71E-07
0,0.1476,-2.38E-07
0,0.1478,9.53E-08
0,0.148,1.32E-07
0,0.1482,8.75E-08
0,0.1484,6.92E-08
0,0.1486,-1.84E-07
0,0.1488,-4.24E-07
0,0.149,3.32E-07
0,0.1492,1.17E-08
0,0.1494,-4.52E-07
0,0.1496,-2.15E-07
0,0.1498,1.45E-07
0,0.15,1.67E-07
0,0.1502,-2.69E-07
0,0.1504,8.75E-08
0,0.1506,-5.09E-08
0,0.1508,-1.31E-09
0,0.151,3.19E-07
0,0.1512,4.11E-07
0,0.1514,-1.17E-07
0,0.1516,6.92E-08
0,0.1518,-1.53E-07
0,0.152,2.11E-07
0,0.1522,-4.20E-07
0,0.1524,-9.36E-07
0,0.1526,3.85E-07
0,0.1528,2.61E-09
0,0.153,1.10E-07
0,0.1532,-1.84E-07
0,0.1534,4.92E-07
0,0.1536,1.10E-07
0,0.1538,-2.28E-07
0,0.154,-4.65E-07
0,0.1542,-2.25E-07
0,0.1544,2.43E-07
0,0.1546,-2.25E-07
0,0.1548,-7.18E-07
0,0.155,5.72E-07
0,0.1552,4.29E-07
0,0.1554,2.11E-07
0,0.1556,-7.70E-08
0,0.1558,-9.92E-08
0,0.156,-2.51E-07
0,0.1562,2.52E-07
0,0.1564,-1.17E-07
0,0.1566,2.61E-09
0,0.1568,-8.79E-07
0,0.157,7.83E-08
0,0.1572,-5.09E-08
0,0.1574,-2.51E-07
0,0.1576,-3.36E-07
0,0.1578,3.85E-07
0,0.158,1.95E-07
0,0.1582,5.09E-08
0,0.1584,5.81E-07
0,0.1586,1.54E-07
0,0.1588,-3.04E-07
0,0.159,4.43E-07
0,0.1592,1.89E-07
0,0.1594,-8.51E-07
0,0.1596,-1.75E-07
0,0.1598,-2.82E-07
0,0.16,-2.60E-07
0,0.1602,5.72E-07
0,0.1604,-4.24E-07
0,0.1606,9.14E-08
0,0.1608,3.19E-07
0,0.161,4.57E-07
0,0.1612,-6.53E-09
0,0.1614,1.54E-07
0,0.1616,1.57E-08
0,0.1618,1.23E-07
0,0.162,1.85E-07
0,0.1622,6.70E-07
0,0.1624,-1.04E-08
0,0.1626,8.75E-08
0,0.1628,2.65E-07
0,0.163,-2.25E-07
0,0.1632,1.36E-07
0,0.1634,-2.82E-07
0,0.1636,3.85E-07
0,0.1638,-1.71E-07
0,0.164,-2.60E-07
0,0.1642,-5.61E-08
0,0.1644,2.52E-07
0,0.1646,-1.93E-07
0,0.1648,4.70E-08
0,0.165,4.39E-07
0,0.1652,1.19E-07
0,0.1654,-4.15E-07
0,0.1656,3.94E-07
0,0.1658,2.48E-08
0,0.166,-3.00E-07
0,0.1662,3.32E-07
0,0.1664,2.74E-07
0,0.1666,3.54E-07
0,0.1668,-2.15E-07
0,0.167,-2.38E-07
0,0.1672,-1.17E-07
0,0.1674,-1.62E-07
0,0.1676,1.89E-07
0,0.1678,-2.02E-07
0,0.168,-2.06E-07
0,0.1682,-5.67E-07
0,0.1684,2.21E-07
0,0.1686,-1.96E-08
0,0.1688,-5.80E-07
0,0.169,9.14E-08
0,0.1692,3.50E-07
0,0.1694,-1.27E-07
0,0.1696,8.75E-08
0,0.1698,3.98E-07
0,0.17,5.05E-07
0,0.1702,-4.18E-08
0,0.1704,1.89E-07
0,0.1706,5.27E-07
0,0.1708,6.92E-08
0,0.171,-4.11E-07
0,0.1712,-1.27E-07
0,0.1714,-9.53E-08
0,0.1716,2.87E-07
0,0.1718,3.54E-07
0,0.172,5.61E-08
0,0.1722,-9.53E-08
0,0.1724,-8.62E-08
0,0.1726,1.17E-08
0,0.1728,4.39E-07
0,0.173,-9.92E-08
0,0.1732,-6.92E-08
0,0.1734,3.89E-07
0,0.1736,4.65E-07
0,0.1738,1.10E-07
0,0.174,-6.53E-09
0,0.1742,-2.95E-07
0,0.1744,1.32E-07
0,0.1746,4.16E-07
0,0.1748,3.41E-07
0,0.175,-2.06E-07
0,0.1752,2.43E-07
0,0.1754,-2.87E-08
0,0.1756,-5.09E-08
0,0.1758,2.21E-07
0,0.176,-2.86E-07
0,0.1762,1.01E-07
0,0.1764,-1.57E-08
0,0.1766,6.34E-07
0,0.1768,-2.87E-08
0,0.177,-1.17E-07
0,0.1772,-1.96E-08
0,0.1774,2.34E-07
0,0.1776,1.45E-07
0,0.1778,-2.25E-07
0,0.178,8.75E-08
0,0.1782,4.70E-08
0,0.1784,7.31E-08
0,0.1786,-1.62E-07
0,0.1788,-2.64E-07
0,0.179,1.32E-07
0,0.1792,-3.22E-07
0,0.1794,1.57E-08
0,0.1796,-2.86E-07
0,0.1798,1.45E-07
0,0.18,6.53E-08
0,0.1802,2.11E-07
0,0.1804,2.61E-09
0,0.1806,2.11E-07
0,0.1808,-1.53E-07
0,0.181,-1.44E-08
0,0.1812,-5.76E-07
0,0.1814,4.70E-07
0,0.1816,3.05E-07
0,0.1818,2.11E-07
0,0.182,6.53E-08
0,0.1822,-3.04E-07
0,0.1824,-1.62E-07
0,0.1826,3.05E-07
0,0.1828,-4.43E-07
0,0.183,2.39E-07
0,0.1832,-1.49E-07
0,0.1834,6.38E-07
0,0.1836,6.12E-07
0,0.1838,1.58E-07
0,0.184,5.37E-07
0,0.1842,-2.19E-07
0,0.1844,-2.69E-07
0,0.1846,2.08E-07
0,0.1848,5.09E-08
0,0.185,-4.11E-07
0,0.1852,-3.26E-08
0,0.1854,3.85E-07
0,0.1856,-2.60E-07
0,0.1858,-8.62E-08
0,0.186,2.21E-07
0,0.1862,-3.04E-07
0,0.1864,7.83E-08
0,0.1866,-3.00E-07
0,0.1868,-3.49E-07
0,0.187,8.75E-08
0,0.1872,5.22E-08
0,0.1874,5.61E-08
0,0.1876,1.89E-07
0,0.1878,1.45E-07
0,0.188,-1.62E-07
0,0.1882,-1.84E-07
0,0.1884,1.45E-07
0,0.1886,-5.09E-07
0,0.1888,1.19E-07
0,0.189,-4.11E-07
0,0.1892,1.45E-07
0,0.1894,-1.96E-08
0,0.1896,-4.78E-07
0,0.1898,-4.37E-07
0,0.19,-3.67E-07
0,0.1902,-1.71E-07
0,0.1904,4.33E-07
0,0.1906,1.57E-08
0,0.1908,-6.53E-09
0,0.191,9.66E-08
0,0.1912,3.63E-07
0,0.1914,-5.22E-07
0,0.1916,-3.79E-08
0,0.1918,2.52E-07
