mass,tof (us),Combined
0,0.0672,4.90E-07
0,0.0674,4.90E-07
0,0.0676,6.85E-07
0,0.0678,3.92E-07
0,0.068,1.08E-06
0,0.0682,5.87E-07
0,0.0684,2.94E-07
0,0.0686,5.87E-07
0,0.0688,7.83E-07
0,0.069,7.83E-07
0,0.0692,4.90E-07
0,0.0694,3.92E-07
0,0.0696,1.96E-07
0,0.0698,7.83E-07
0,0.07,6.85E-07
0,0.0702,2.94E-07
0,0.0704,7.83E-07
0,0.0706,7.83E-07
0,0.0708,3.92E-07
0,0.071,1.17E-06
0,0.0712,8.81E-07
0,0.0714,4.90E-07
0,0.0716,3.92E-07
0,0.0718,6.85E-07
0,0.072,9.79E-08
0,0.0722,8.81E-07
0,0.0724,3.92E-07
0,0.0726,7.83E-07
0,0.0728,3.92E-07
0,0.073,8.81E-07
0,0.0732,7.83E-07
0,0.0734,1.08E-06
0,0.0736,5.87E-07
0,0.0738,4.90E-07
0,0.074,6.85E-07
0,0.0742,9.79E-07
0,0.0744,7.83E-07
0,0.0746,6.85E-07
0,0.0748,9.79E-07
0,0.075,9.79E-07
0,0.0752,1.08E-06
0,0.0754,2.94E-07
0,0.0756,3.92E-07
0,0.0758,8.81E-07
0,0.076,4.90E-07
0,0.0762,5.87E-07
0,0.0764,3.92E-07
0,0.0766,1.47E-06
0,0.0768,3.92E-07
0,0.077,6.85E-07
0,0.0772,4.90E-07
0,0.0774,6.85E-07
0,0.0776,6.85E-07
0,0.0778,1.08E-06
0,0.078,1.17E-06
0,0.0782,6.85E-07
0,0.0784,4.90E-07
0,0.0786,7.83E-07
0,0.0788,3.92E-07
0,0.079,1.37E-06
0,0.0792,2.94E-07
0,0.0794,3.92E-07
0,0.0796,7.83E-07
0,0.0798,6.85E-07
0,0.08,1.08E-06
0,0.0802,6.85E-07
0,0.0804,8.81E-07
0,0.0806,5.87E-07
0,0.0808,7.83E-07
0,0.081,7.83E-07
0,0.0812,1.47E-06
0,0.0814,3.92E-07
0,0.0816,6.85E-07
0,0.0818,6.85E-07
0,0.082,1.17E-06
0,0.0822,4.90E-07
0,0.0824,4.90E-07
0,0.0826,4.90E-07
0,0.0828,9.79E-07
0,0.083,8.81E-07
0,0.0832,5.87E-07
0,0.0834,4.90E-07
0,0.0836,1.08E-06
0,0.0838,6.85E-07
0,0.084,6.85E-07
0,0.0842,6.85E-07
0,0.0844,6.85E-07
0,0.0846,9.79E-07
0,0.0848,1.17E-06
0,0.085,6.85E-07
0,0.0852,8.81E-07
0,0.0854,5.87E-07
0,0.0856,1.96E-07
0,0.0858,2.94E-07
0,0.086,4.90E-07
0,0.0862,8.81E-07
0,0.0864,4.90E-07
0,0.0866,2.94E-07
0,0.0868,8.81E-07
0,0.087,9.79E-07
0,0.0872,5.87E-07
0,0.0874,8.81E-07
0,0.0876,7.83E-07
0,0.0878,7.83E-07
0,0.088,1.37E-06
0,0.0882,9.79E-07
0,0.0884,8.81E-07
0,0.0886,4.90E-07
0,0.0888,7.83E-07
0,0.089,4.90E-07
0,0.0892,3.92E-07
0,0.0894,4.90E-07
0,0.0896,3.92E-07
0,0.0898,6.85E-07
0,0.09,6.85E-07
0,0.0902,5.87E-07
0,0.0904,2.94E-07
0,0.0906,4.90E-07
0,0.0908,7.83E-07
0,0.091,9.79E-07
0,0.0912,4.90E-07
0,0.0914,7.83E-07
0,0.0916,9.79E-07
0,0.0918,6.85E-07
0,0.092,9.79E-07
0,0.0922,6.85E-07
0,0.0924,8.81E-07
0,0.0926,5.87E-07
0,0.0928,5.87E-07
0,0.093,1.08E-06
0,0.0932,6.85E-07
0,0.0934,7.83E-07
0,0.0936,8.81E-07
0,0.0938,1.96E-07
0,0.094,6.85E-07
0,0.0942,4.90E-07
0,0.0944,6.85E-07
0,0.0946,1.08E-06
0,0.0948,4.90E-07
0,0.095,1.27E-06
0,0.0952,5.87E-07
0,0.0954,4.90E-07
0,0.0956,3.92E-07
0,0.0958,4.90E-07
0,0.096,6.85E-07
0,0.0962,6.85E-07
0,0.0964,8.81E-07
0,0.0966,8.81E-07
0,0.0968,7.83E-07
0,0.097,9.79E-07
0,0.0972,3.92E-07
0,0.0974,1.08E-06
0,0.0976,4.90E-07
0,0.0978,6.85E-07
0,0.098,5.87E-07
0,0.0982,6.85E-07
0,0.0984,5.87E-07
0,0.0986,4.90E-07
0,0.0988,9.79E-07
0,0.099,5.87E-07
0,0.0992,7.83E-07
0,0.0994,3.92E-07
0,0.0996,7.83E-07
0,0.0998,8.81E-07
0,0.1,2.94E-07
0,0.1002,9.79E-07
0,0.1004,5.87E-07
0,0.1006,7.83E-07
0,0.1008,7.83E-07
0,0.101,2.94E-07
0,0.1012,5.87E-07
0,0.1014,1.27E-06
0,0.1016,5.87E-07
0,0.1018,7.83E-07
0,0.102,8.81E-07
0,0.1022,7.83E-07
0,0.1024,9.79E-07
0,0.1026,1.37E-06
0,0.1028,3.92E-07
0,0.103,7.83E-07
0,0.1032,1.17E-06
0,0.1034,3.92E-07
0,0.1036,4.90E-07
0,0.1038,1.96E-07
0,0.104,5.87E-07
0,0.1042,5.87E-07
0,0.1044,9.79E-07
0,0.1046,1.96E-07
0,0.1048,9.79E-08
0,0.105,4.90E-07
0,0.1052,4.90E-07
0,0.1054,7.83E-07
0,0.1056,6.85E-07
0,0.1058,8.81E-07
0,0.106,2.94E-07
0,0.1062,7.83E-07
0,0.1064,5.87E-07
0,0.1066,4.90E-07
0,0.1068,5.87E-07
0,0.107,6.85E-07
0,0.1072,3.92E-07
0,0.1074,8.81E-07
0,0.1076,4.90E-07
0,0.1078,1.96E-07
0,0.108,5.87E-07
0,0.1082,1.96E-07
0,0.1084,7.83E-07
0,0.1086,3.92E-07
0,0.1088,4.90E-07
0,0.109,7.83E-07
0,0.1092,3.92E-07
0,0.1094,7.83E-07
0,0.1096,2.94E-07
0,0.1098,1.08E-06
0,0.11,6.85E-07
0,0.1102,9.79E-07
0,0.1104,6.85E-07
0,0.1106,1.96E-07
0,0.1108,4.90E-07
0,0.111,3.92E-07
0,0.1112,3.92E-07
0,0.1114,7.83E-07
0,0.1116,7.83E-07
0,0.1118,1.08E-06
0,0.112,6.85E-07
0,0.1122,4.90E-07
0,0.1124,8.81E-07
0,0.1126,8.81E-07
0,0.1128,6.85E-07
0,0.113,6.85E-07
0,0.1132,4.90E-07
0,0.1134,5.87E-07
0,0.1136,9.79E-07
0,0.1138,3.92E-07
0,0.114,3.92E-07
0,0.1142,7.83E-07
0,0.1144,8.81E-07
0,0.1146,5.87E-07
0,0.1148,6.85E-07
0,0.115,3.92E-07
0,0.1152,4.90E-07
0,0.1154,9.79E-07
0,0.1156,5.87E-07
0,0.1158,7.83E-07
0,0.116,3.92E-07
0,0.1162,9.79E-07
0,0.1164,8.81E-07
0,0.1166,8.81E-07
0,0.1168,7.83E-07
0,0.117,2.94E-07
0,0.1172,5.87E-07
0,0.1174,6.85E-07
0,0.1176,5.87E-07
0,0.1178,1.37E-06
0,0.118,6.85E-07
0,0.1182,7.83E-07
0,0.1184,3.92E-07
0,0.1186,6.85E-07
0,0.1188,1.17E-06
0,0.119,6.85E-07
0,0.1192,9.79E-08
0,0.1194,2.94E-07
